_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,first_review,last_review,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,security_deposit,cleaning_fee,extra_people,guests_included,Total_review_scores_per,Country,Country_Code,Latitude,Longitude,host_id,host_identity_verified,host_location,host_name,host_response_rate,host_total_listings_count,availability_30,availability_365,availability_60,availability_90
10133350,2 bedroom Upper east side,Apartment,Entire home/apt,Real Bed,2,7,Strict,06-03-2019 05:00,28-05-2016 04:00,19-08-2017 04:00,5,2,2,9,1,275,0,35,0,1,44,United States,US,40.7664,-73.95854,52004369,TRUE,United States,Chelsea,0,2,0,0,0,0
10133554,Double and triple rooms Blue mosque,Bed and breakfast,Private room,Real Bed,1,1125,moderate,18-02-2019 05:00,04-05-2017 04:00,07-05-2018 04:00,3,1,2,29,1,121,0,0,0,1,49,Turkey,TR,41.0062,28.98009,52004703,TRUE,Turkey,Mehmet Emin,100,2,30,365,60,90
10138784,Room Close to LGA and 35 mins to Times Square,Apartment,Private room,Real Bed,2,1125,Strict,07-03-2019 05:00,05-01-2016 05:00,28-11-2018 05:00,2,1,1,123,2,46,0,15,10,1,58,United States,US,40.74953,-73.88025,52031360,TRUE,United States,Cheer,100,1,30,365,60,90
10140368,A bedroom far away from home,Apartment,Private room,Real Bed,1,10,Strict,07-03-2019 05:00,06-01-2016 05:00,03-03-2019 05:00,2,1,1,239,2,45,0,0,10,1,54,United States,US,40.71485,-73.82257,1017772,TRUE,United States,Lane,100,1,20,34,29,29
10141950,"Big, Bright & Convenient Sheung Wan",Apartment,Entire home/apt,Real Bed,2,1125,moderate,11-03-2019 04:00,06-01-2016 05:00,06-01-2016 05:00,2,1,1,1,2,966,0,118,0,1,60,Hong Kong,HK,22.28422,114.15007,11435086,TRUE,Hong Kong,Regg,0,1,0,0,0,0
10166883,Large railroad style 3 bedroom apt in Manhattan!,Apartment,Entire home/apt,Real Bed,3,6,Strict,06-03-2019 05:00,03-01-2016 05:00,01-01-2019 05:00,9,3,4,22,1,180,199,59,19,4,52,United States,US,40.79805,-73.93943,35215309,TRUE,United States,Vick,0,1,0,0,0,0
10166986,Resort-like living in Williamsburg,Apartment,Entire home/apt,Real Bed,5,1125,Strict,06-03-2019 05:00,01-01-2016 05:00,01-01-2016 05:00,4,2,2,1,2,220,0,25,0,1,58,United States,US,40.71552,-73.93869,14461742,TRUE,France,Mohammed,0,1,0,0,0,0
1016739,Private Room (2)  in Guest House at Coogee Beach,House,Private room,Real Bed,3,365,Strict,07-03-2019 05:00,15-07-2013 04:00,01-12-2017 05:00,2,1,2,8,3.5,64,0,30,0,1,59,Australia,AU,-33.92398,151.25541,5595776,TRUE,Australia,David,100,6,0,20,0,19
10184012,Apto semi mobiliado,Apartment,Entire home/apt,Real Bed,1,1125,flexible,11-02-2019 05:00,15-07-2013 04:00,08-01-2019 05:00,2,1,1,0,2,380,0,0,0,1,0,Brazil,BR,-22.91500935,-43.24277868,52299431,FALSE,Brazil,Ricardo,0,1,30,365,60,90
10186755,Roof double bed private room,Loft,Private room,Real Bed,1,1125,flexible,18-02-2019 05:00,15-07-2013 04:00,08-01-2019 05:00,2,1,2,0,1,185,0,0,0,1,0,Turkey,TR,41.12452,29.03693,52316085,FALSE,Turkey,Mustafa,0,1,30,365,60,90
1019168,"Cozy Nest, heart of the Plateau",Apartment,Private room,Real Bed,2,120,Strict,11-03-2019 04:00,22-06-2014 04:00,08-01-2019 05:00,1,1,1,62,1,34,0,25,10,1,57,Canada,CA,45.52028,-73.58774,39300,TRUE,Canada,Lilou,100,1,0,0,0,0
10199760,Uygun nezih daire,Apartment,Entire home/apt,Real Bed,1,1125,flexible,18-02-2019 05:00,22-06-2014 04:00,28-01-2019 05:00,4,1,2,0,2,264,527,26,53,1,0,Turkey,TR,40.99667,28.89964,37417314,FALSE,Turkey,Yaşar,100,1,30,365,60,90
